,City,Colors Reported,Shape Reported,State,Time
30096,Social Hill,,CIGAR,AR,8/25/2004 22:50
30097,Haltom City,,LIGHT,TX,8/25/2004 23:00
30098,Vienna,,TRIANGLE,MO,8/25/2004 23:00
30099,Danville,BLUE,,VA,8/26/2004 0:15
30100,Flagler,ORANGE,LIGHT,FL,8/26/2004 5:03
30101,Sunol,,EGG,CA,8/26/2004 14:35
30102,St. James,,VARIOUS,MO,8/26/2004 19:35
30103,Baton Rouge,,,LA,8/26/2004 20:00
30104,Coppell,,TRIANGLE,TX,8/26/2004 20:35
30105,Chatsworth,,,NJ,8/26/2004 22:00
30106,Terre Haute,,LIGHT,IN,8/26/2004 22:00
30107,Westerly,,TRIANGLE,RI,8/26/2004 22:13
30108,Garden Grove,,FIREBALL,CA,8/26/2004 23:00
30109,Paterson,,DISK,CA,8/27/2004 14:00
30110,Celoron,BLUE,TRIANGLE,NY,8/27/2004 15:00
30111,Kenner,,TEARDROP,LA,8/27/2004 19:30
30112,Beaumont,,LIGHT,TX,8/27/2004 21:00
30113,Hampton,,LIGHT,VA,8/27/2004 22:30
30114,West Palm Beach,,LIGHT,FL,8/27/2004 23:00
30115,Piscataquis County,,CIRCLE,ME,8/28/2004 18:30
30116,Tacoma,,LIGHT,WA,8/28/2004 19:45
30117,Raleigh,,LIGHT,NC,8/28/2004 21:30
30118,Liberty Hill,,VARIOUS,TX,8/29/2004 4:00
30119,Vienna,,SPHERE,MO,8/29/2004 6:45
30120,Corinth,,TRIANGLE,KY,8/29/2004 10:35
30121,Pahrump,,OTHER,NV,8/29/2004 11:00
30122,New York City,,TRIANGLE,NY,8/29/2004 13:30
30123,New York City,,CIRCLE,NY,8/29/2004 15:15
30124,West Los Angeles,,DIAMOND,CA,8/29/2004 18:00
30125,Fremont,,RECTANGLE,CA,8/29/2004 19:45
30126,Baker,,LIGHT,LA,8/29/2004 21:45
30127,St. Charles,,TRIANGLE,MO,8/30/2004 4:20
30128,Sedona,,LIGHT,AZ,8/30/2004 5:00
30129,Englewood,,SPHERE,CO,8/30/2004 14:10
30130,Cocoa Beach,,OVAL,FL,8/30/2004 18:30
30131,Fresno,,DISK,CA,8/30/2004 20:30
30132,Washington,,,IL,8/30/2004 20:45
30133,Nordland,,FORMATION,WA,8/30/2004 21:00
30134,San Jaun  Batista,,OTHER,CA,8/30/2004 21:20
30135,Albuquerque,,,NM,8/30/2004 21:45
30136,Durham,,OVAL,NC,8/30/2004 22:00
30137,Boynton Beach,RED YELLOW,EGG,FL,8/30/2004 23:15
30138,Sea Girt,,CIRCLE,NJ,8/31/2004 1:00
30139,Santa Fe,,OTHER,NM,8/31/2004 2:00
30140,Chicago,,LIGHT,IL,8/31/2004 6:20
30141,Raynham,,OTHER,MA,8/31/2004 7:30
30142,Danville,,CIRCLE,CA,8/31/2004 14:00
30143,Albuquerque,,CIRCLE,NM,8/31/2004 16:10
30144,Gulf Breeze,,OTHER,FL,8/31/2004 19:51
30145,Tinley Park,,LIGHT,IL,8/31/2004 19:54
30146,Herkimer,,OTHER,NY,8/31/2004 20:00
30147,Bristol,,OTHER,TN,8/31/2004 20:30
30148,Morgantown,,OTHER,WV,8/31/2004 20:30
30149,Palm Bay,,OTHER,FL,8/31/2004 20:30
30150,Salem,,OTHER,CT,8/31/2004 20:30
30151,Verona,,OTHER,NY,8/31/2004 20:30
30152,Bristol,,OTHER,TN,8/31/2004 20:35
30153,Kingsville,,OTHER,OH,8/31/2004 20:37
30154,Kingsville,,OTHER,OH,8/31/2004 20:40
30155,Malden Bridge,,DISK,NY,8/31/2004 20:45
30156,Mount Carmel,,OTHER,PA,8/31/2004 20:45
30157,Mount Carmel,,OTHER,PA,8/31/2004 20:45
30158,Neptune,,LIGHT,NJ,8/31/2004 20:45
30159,Kennett Square,,VARIOUS,PA,8/31/2004 20:50
30160,Somerville,,OTHER,NJ,8/31/2004 20:50
30161,Troy,,OTHER,KY,8/31/2004 20:50
30162,Cinnaminson,,FORMATION,NJ,8/31/2004 20:55
30163,Aquebogue,,OTHER,NY,8/31/2004 21:00
30164,Beaver,,OTHER,WV,8/31/2004 21:00
30165,Boonsboro,,OTHER,MD,8/31/2004 21:00
30166,Elkins,,VARIOUS,WV,8/31/2004 21:00
30167,Endwell,,OTHER,NY,8/31/2004 21:00
30168,Galeton,,EGG,PA,8/31/2004 21:00
30169,Montpelier,,OTHER,VT,8/31/2004 21:00
30170,New Philadelphia,,OTHER,OH,8/31/2004 21:00
30171,New York City,GREEN,LIGHT,NY,8/31/2004 21:00
30172,North Kingstown,,LIGHT,RI,8/31/2004 21:00
30173,Reynoldsburg,,CYLINDER,OH,8/31/2004 21:00
30174,Romulus,,CONE,NY,8/31/2004 21:00
30175,Wakefield,,OTHER,NH,8/31/2004 21:00
30176,Wakefield,,VARIOUS,NH,8/31/2004 21:00
30177,Mount Rainer,,VARIOUS,MD,8/31/2004 21:05
30178,Bellefonte,,OTHER,PA,8/31/2004 21:10
30179,Chillicothe,,FIREBALL,OH,8/31/2004 21:10
30180,Au Sable Forks,,OTHER,NY,8/31/2004 21:15
30181,Easton,,TRIANGLE,PA,8/31/2004 21:15
30182,Fort Wayne,,TRIANGLE,IN,8/31/2004 21:15
30183,Nashville,,TRIANGLE,TN,8/31/2004 21:16
30184,Ohio,,OTHER,OH,8/31/2004 21:20
30185,Choctaw,,CIRCLE,OK,8/31/2004 21:30
30186,Wellsboro,,OTHER,PA,8/31/2004 21:30
30187,Willowick,,LIGHT,OH,8/31/2004 21:30
30188,Cottage Grove,,OTHER,OR,8/31/2004 23:00
30189,Hillsboro,,LIGHT,OH,9/1/2004 2:00
30190,New York City,,,NY,9/1/2004 2:30
30191,Brooklyn,,SPHERE,CT,9/1/2004 3:00
30192,Phoenix,,TRIANGLE,AZ,9/1/2004 3:00
30193,Evergreen,,CIRCLE,CO,9/1/2004 10:00
30194,Pie Town,,SPHERE,NM,9/1/2004 11:04
30195,New York City,,OVAL,NY,9/1/2004 18:00
30196,Linglestown,,TRIANGLE,PA,9/1/2004 20:00
30197,Wisconsin,,LIGHT,WI,9/1/2004 20:30
30198,Providence,,EGG,RI,9/1/2004 20:34
30199,Brighton,,LIGHT,MA,9/1/2004 20:45
30200,Destin,,LIGHT,FL,9/1/2004 22:00
30201,Monticello,,,IN,9/1/2004 22:00
30202,Arcadia,,LIGHT,CA,9/1/2004 22:45
30203,Franklinton,,CIRCLE,LA,9/1/2004 23:00
30204,Ashgrove,,,MO,9/1/2004 23:54
30205,National Park,,LIGHT,CA,9/2/2004 2:00
30206,St. Paul,BLUE,LIGHT,MN,9/2/2004 19:45
30207,Whittier,,LIGHT,CA,9/2/2004 20:03
30208,Kirkland,,LIGHT,WA,9/2/2004 20:15
30209,Fort Lauderdale,,,FL,9/2/2004 21:00
30210,Kirkland,,OVAL,WA,9/2/2004 21:00
30211,Sisseton,,FIREBALL,SD,9/2/2004 22:43
30212,Weehawken,,LIGHT,NJ,9/3/2004 1:00
30213,Vernon,,TRIANGLE,CT,9/3/2004 19:30
30214,River Falls,,TEARDROP,WI,9/3/2004 20:00
30215,Hegins,,FIREBALL,PA,9/3/2004 20:20
30216,Tacoma,,LIGHT,WA,9/3/2004 20:30
30217,Hegins,,FIREBALL,PA,9/3/2004 21:20
30218,Dripping Springs,,CIRCLE,TX,9/3/2004 21:30
30219,Hayward,,LIGHT,CA,9/3/2004 22:00
30220,Englewood,,OTHER,FL,9/3/2004 22:20
30221,Newark,,OVAL,NJ,9/3/2004 22:45
30222,Winchester,,LIGHT,VA,9/3/2004 23:00
30223,Palm Harbor,,TRIANGLE,FL,9/3/2004 23:40
30224,Kalispell,,TRIANGLE,MT,9/4/2004 0:00
30225,Pyramid Lake,,LIGHT,NV,9/4/2004 0:00
30226,St. Augustine,,CYLINDER,FL,9/4/2004 5:30
30227,Watsonville,RED,LIGHT,CA,9/4/2004 6:00
30228,Huntington Beach,RED,LIGHT,CA,9/4/2004 6:30
30229,Glendale,,TEARDROP,AZ,9/4/2004 9:00
30230,Murrieta,,TRIANGLE,CA,9/4/2004 11:00
30231,Sayreville,,RECTANGLE,NJ,9/4/2004 11:15
30232,Leicester,,FIREBALL,NC,9/4/2004 14:00
30233,Garden Grove,,,CA,9/4/2004 16:30
30234,Baton Rouge,,CIGAR,LA,9/4/2004 17:30
30235,Austin,,,TX,9/4/2004 18:00
30236,Austin,,,TX,9/4/2004 18:00
30237,Oakland,RED,LIGHT,CA,9/4/2004 18:00
30238,Bristol,,OTHER,TN,9/4/2004 19:54
30239,Mojave,,LIGHT,CA,9/4/2004 20:00
30240,Monticello,,,IN,9/4/2004 21:30
30241,Ludington,,DISK,MI,9/5/2004 0:30
30242,Tess Corners,,FORMATION,WI,9/5/2004 0:43
30243,Johnson City,,FIREBALL,TN,9/5/2004 2:00
30244,Ocean City,,,MD,9/5/2004 3:28
30245,Lewisville,,,TX,9/5/2004 4:00
30246,Lewisville,RED,OVAL,TX,9/5/2004 11:30
30247,Bainbridge Island,,SPHERE,WA,9/5/2004 13:00
30248,Murrieta,,OTHER,CA,9/5/2004 19:30
30249,San Francisco,,LIGHT,CA,9/5/2004 22:00
30250,Hidalgo,,FIREBALL,TX,9/5/2004 22:10
30251,Brackettville,ORANGE GREEN,FIREBALL,TX,9/5/2004 22:30
30252,Titusville,,LIGHT,PA,9/5/2004 23:10
30253,Lakeville,,,MN,9/6/2004 0:00
30254,Lakeland,,LIGHT,FL,9/6/2004 0:35
30255,Cleveland,,TRIANGLE,OH,9/6/2004 3:00
30256,Waynesboro,RED,CIGAR,VA,9/6/2004 4:00
30257,New York City,,LIGHT,NY,9/6/2004 5:00
30258,Austin,,TRIANGLE,TX,9/6/2004 6:05
30259,Harbor Springs,,LIGHT,MI,9/6/2004 10:30
30260,Corpus Christi,,TRIANGLE,TX,9/6/2004 11:40
30261,Glendale,,SPHERE,AZ,9/6/2004 13:30
30262,Zelienople,,OTHER,PA,9/6/2004 16:45
30263,Bedford,,SPHERE,TX,9/6/2004 19:00
30264,Chesterton,,TRIANGLE,IN,9/6/2004 20:00
30265,Highland,,DISK,CA,9/6/2004 20:00
30266,Seattle,,TEARDROP,WA,9/6/2004 20:10
30267,Jackson,RED BLUE,TRIANGLE,KY,9/6/2004 21:00
30268,Dale Hollow Lake,,,TN,9/6/2004 22:00
30269,Littleton,,OTHER,CO,9/6/2004 22:05
30270,West Palm Beach,,OVAL,FL,9/6/2004 23:00
30271,Montrose,,,CO,9/7/2004 0:00
30272,Depew,,DISK,NY,9/7/2004 4:15
30273,Providence,,FORMATION,RI,9/7/2004 4:45
30274,Lakeville,,,MN,9/7/2004 12:00
30275,Torrington,,SPHERE,CT,9/7/2004 20:30
30276,Davenport,,,IA,9/7/2004 21:00
30277,Fort Smith,,TRIANGLE,AR,9/7/2004 21:15
30278,Jackson,,FORMATION,MI,9/7/2004 21:45
30279,Pacheco,,VARIOUS,CA,9/8/2004 3:14
30280,Waikele,,OVAL,HI,9/8/2004 12:00
30281,Euless,,DISK,TX,9/8/2004 15:45
30282,Maywood,,TRIANGLE,CA,9/8/2004 19:00
30283,Austin,,FORMATION,TX,9/8/2004 21:00
30284,Puxico,,TRIANGLE,MO,9/8/2004 21:00
30285,Park City,,OTHER,UT,9/8/2004 23:00
30286,Lantana,,,FL,9/9/2004 2:30
30287,Whangarei,,OTHER,NY,9/9/2004 15:30
30288,Raeford,,TEARDROP,NC,9/9/2004 19:30
30289,Fresno,,LIGHT,CA,9/9/2004 20:03
30290,Racine,,LIGHT,WI,9/9/2004 20:35
30291,Racine,,RECTANGLE,WI,9/9/2004 20:35
30292,Natchez,,,MS,9/9/2004 21:00
30293,Lincoln,,,NE,9/9/2004 21:05
30294,Lincolnton,,FORMATION,GA,9/9/2004 21:30
30295,Corunna,,TRIANGLE,MI,9/9/2004 22:00
30296,Kansas City,,DISK,MO,9/9/2004 23:00
30297,North Hollywood,RED BLUE,TRIANGLE,CA,9/10/2004 2:00
30298,Asheboro,,OVAL,NC,9/10/2004 12:00
30299,Ellicott City,,DISK,MD,9/10/2004 14:20
30300,Alpharetta,,OVAL,GA,9/10/2004 18:30
30301,Mastic Beach,,LIGHT,NY,9/10/2004 20:00
30302,Sonora,,DISK,CA,9/10/2004 20:30
30303,Marblehead,,SPHERE,MA,9/10/2004 22:00
30304,Mount Cobb,,,PA,9/10/2004 22:00
30305,Darien Center,,LIGHT,NY,9/10/2004 22:15
30306,Vine Grove,,LIGHT,KY,9/10/2004 22:45
30307,Columbia,,LIGHT,MO,9/10/2004 23:30
30308,Germantown,RED,OTHER,OH,9/11/2004 0:00
30309,Keeseville,,OVAL,NY,9/11/2004 2:00
30310,Little Rock,,TRIANGLE,AR,9/11/2004 16:45
30311,Madras,,CIRCLE,OR,9/11/2004 20:00
30312,Waltham,,DISK,MA,9/11/2004 20:00
30313,Parma,,LIGHT,OH,9/11/2004 20:40
30314,Fair Haven,,FIREBALL,NY,9/11/2004 20:45
30315,Los Angeles,,OVAL,CA,9/11/2004 21:00
30316,Los Angeles,,OVAL,CA,9/11/2004 21:00
30317,Ewing,RED BLUE,FLASH,NJ,9/11/2004 21:15
30318,Riverdale,,LIGHT,UT,9/11/2004 22:00
30319,Saratoga,,,NY,9/11/2004 22:00
30320,Anoka,,LIGHT,MN,9/11/2004 22:30
30321,Embden,,TRIANGLE,ME,9/11/2004 23:00
30322,Findlay,,FLASH,OH,9/11/2004 23:30
30323,Lithia Springs,YELLOW GREEN BLUE,OVAL,GA,9/12/2004 0:00
30324,Lead,,FLASH,SD,9/12/2004 1:00
30325,Fairbanks,,OVAL,AK,9/12/2004 3:00
30326,Palo Alto,,TRIANGLE,CA,9/12/2004 3:00
30327,Seattle,,CIGAR,WA,9/12/2004 11:11
30328,Auburn Hills,,SPHERE,MI,9/12/2004 17:30
30329,Torrington,,LIGHT,CT,9/12/2004 20:00
30330,Sunnyside,,LIGHT,WA,9/12/2004 20:40
30331,Attalla,,TRIANGLE,AL,9/12/2004 21:00
30332,North Bend,,,OR,9/12/2004 21:10
30333,Sequim,,,WA,9/12/2004 21:30
30334,Casselberry,,DISK,FL,9/13/2004 17:00
30335,Kingwood,,TRIANGLE,TX,9/13/2004 19:15
30336,Honolulu,,SPHERE,HI,9/13/2004 19:55
30337,Franklin,,LIGHT,MA,9/13/2004 20:25
30338,Harleysville,,,PA,9/13/2004 20:25
30339,South Phoenix,,LIGHT,AZ,9/13/2004 20:25
30340,Colorado Springs,,CHEVRON,CO,9/13/2004 20:30
30341,Los Angeles,,FIREBALL,CA,9/13/2004 21:05
30342,Tucson,ORANGE,VARIOUS,AZ,9/14/2004 18:30
30343,Dallas,,LIGHT,TX,9/14/2004 20:45
30344,Irving,,VARIOUS,TX,9/14/2004 22:15
30345,Rockland,,TRIANGLE,ME,9/14/2004 22:30
30346,Carroll,,TRIANGLE,IA,9/14/2004 23:50
30347,La Grande,,VARIOUS,OR,9/15/2004 0:00
30348,Independence,,TRIANGLE,MO,9/15/2004 2:00
30349,Minot,,OTHER,ND,9/15/2004 2:00
30350,Antioch,,DISK,CA,9/15/2004 6:55
30351,Union,,DISK,MO,9/15/2004 12:00
30352,Desert,,TRIANGLE,CA,9/15/2004 15:00
30353,Charlotte,,RECTANGLE,NC,9/15/2004 17:05
30354,Eureka,,TRIANGLE,CA,9/15/2004 17:45
30355,Oklahoma City,,LIGHT,OK,9/15/2004 19:00
30356,Warren,,RECTANGLE,OH,9/15/2004 19:30
30357,Robinson,,CIRCLE,TX,9/15/2004 20:30
30358,Salinas,,LIGHT,CA,9/15/2004 20:35
30359,Myrtle Beach,,,SC,9/15/2004 21:00
30360,Omaha,,SPHERE,NE,9/15/2004 21:00
30361,Copperas Cove,,CIGAR,TX,9/15/2004 21:30
30362,Rancho Cucamonga,,FIREBALL,CA,9/15/2004 21:30
30363,Jamestown,,TRIANGLE,ND,9/15/2004 21:45
30364,Willow River,,,MN,9/15/2004 22:00
30365,Gainesville,,LIGHT,FL,9/15/2004 22:30
30366,Lewiston,,TRIANGLE,ME,9/15/2004 23:00
30367,Ravenna,,LIGHT,OH,9/16/2004 1:00
30368,Topanga,RED,,CA,9/16/2004 1:00
30369,Frostburg,,LIGHT,MD,9/16/2004 4:30
30370,Charlotte,RED,DISK,NC,9/16/2004 6:00
30371,Wallingford,,SPHERE,VT,9/16/2004 7:50
30372,Truth or Consequences,,LIGHT,NM,9/16/2004 19:00
30373,Grand Junction,,DISK,CO,9/16/2004 19:15
30374,Albuquerque,,LIGHT,NM,9/16/2004 19:30
30375,Marysville,,TRIANGLE,WA,9/16/2004 20:10
30376,Myrtle Beach,RED,,SC,9/16/2004 20:15
30377,Grand Rapids,,SPHERE,MN,9/16/2004 20:30
30378,Pasadena,,,CA,9/16/2004 20:35
30379,Boss,ORANGE,LIGHT,MO,9/16/2004 21:00
30380,Poulsbo,,LIGHT,WA,9/16/2004 21:00
30381,Gatesville,,OVAL,NC,9/17/2004 0:00
30382,China Lake,,FORMATION,CA,9/17/2004 1:00
30383,Austin,,TRIANGLE,TX,9/17/2004 3:47
30384,Bremerton,,SPHERE,WA,9/17/2004 5:00
30385,Grand Junction,,OVAL,CO,9/17/2004 5:30
30386,Scottsdale,,SPHERE,AZ,9/17/2004 7:30
30387,Phoenix,,SPHERE,AZ,9/17/2004 7:45
30388,New York City,,DISK,NY,9/17/2004 12:00
30389,Littleton,,CIGAR,CO,9/17/2004 13:50
30390,Dugas,,RECTANGLE,AZ,9/17/2004 19:30
30391,San Antonio,,TRIANGLE,TX,9/17/2004 21:09
30392,Sonora,,TRIANGLE,CA,9/17/2004 22:14
30393,Duluth,,DISK,MN,9/17/2004 23:00
30394,Eureka,RED,TRIANGLE,CA,9/17/2004 23:30
30395,Rancho Cucamonga,RED,DISK,CA,9/18/2004 0:00
30396,Marion,,DISK,MI,9/18/2004 1:00
30397,Lyndhurst,,LIGHT,OH,9/18/2004 3:00
30398,Spring Grove,,DIAMOND,MN,9/18/2004 3:15
30399,Voorhees,,TRIANGLE,NJ,9/18/2004 4:25
30400,Chicago,,,IL,9/18/2004 6:31
30401,Hermitage,,,MO,9/18/2004 12:00
30402,Norcross,,SPHERE,GA,9/18/2004 15:00
30403,Sedona,,TRIANGLE,MT,9/18/2004 17:00
30404,Chicago,,CIRCLE,IL,9/18/2004 17:30
30405,Prescott,,,AZ,9/18/2004 18:15
30406,Seattle,,TRIANGLE,WA,9/18/2004 19:45
30407,Buffalo,,LIGHT,NY,9/18/2004 21:30
30408,Placitas,,DISK,NM,9/18/2004 21:30
30409,Buffalo,,FORMATION,NY,9/18/2004 22:30
30410,State College,,LIGHT,PA,9/18/2004 22:30
30411,Blue Mound,BLUE,CIGAR,IL,9/19/2004 13:00
30412,Canton,,CIGAR,OH,9/19/2004 16:35
30413,Waynesburg,,CIGAR,OH,9/19/2004 16:35
30414,Temecula,,LIGHT,CA,9/19/2004 20:00
30415,Manchester,,FLASH,NH,9/19/2004 20:35
30416,Conway,,LIGHT,SC,9/19/2004 21:25
30417,Huron,,LIGHT,OH,9/19/2004 22:00
30418,Johnson City,,EGG,TN,9/19/2004 22:00
30419,Buffalo,,LIGHT,NY,9/19/2004 23:30
30420,Tryon,,CIGAR,NC,9/20/2004 0:00
30421,Pine Bush,,RECTANGLE,NY,9/20/2004 2:00
30422,Chandler,,OTHER,AZ,9/20/2004 5:30
30423,San Francisco,,OVAL,CA,9/20/2004 9:30
30424,Crozet,,SPHERE,VA,9/20/2004 13:30
30425,Berkeley,,CIGAR,CA,9/20/2004 13:40
30426,Coatesville,,CROSS,PA,9/20/2004 19:00
30427,Prescott,,LIGHT,AZ,9/20/2004 19:00
30428,Ft. Bragg,,OTHER,CA,9/20/2004 19:20
30429,Shumway,,LIGHT,IL,9/20/2004 19:30
30430,Whitney,RED,,TX,9/20/2004 21:15
30431,Watauga,,DISK,TN,9/20/2004 21:20
30432,Florence,,TRIANGLE,SC,9/20/2004 21:30
30433,Edmonds,,TRIANGLE,WA,9/20/2004 22:00
30434,Southern Pines,,FLASH,NC,9/20/2004 22:20
30435,San Diego,,FIREBALL,CA,9/20/2004 23:00
30436,Cincinnati,,FIREBALL,OH,9/21/2004 2:42
30437,Portland,YELLOW,CIRCLE,OR,9/21/2004 5:30
30438,Raleigh,,FLASH,NC,9/21/2004 8:30
30439,Simsbury,,OTHER,CT,9/21/2004 18:15
30440,Columbus,,DISK,OH,9/21/2004 19:30
30441,Eagle,,OVAL,WI,9/21/2004 20:25
30442,Levasy,,OVAL,MO,9/21/2004 20:38
30443,Bremerton,,SPHERE,WA,9/21/2004 20:40
30444,Hartville,RED GREEN BLUE,LIGHT,MO,9/21/2004 21:00
30445,Brick,,TRIANGLE,NJ,9/21/2004 21:20
30446,Morehead,,OVAL,KY,9/21/2004 22:00
30447,State College,,LIGHT,PA,9/21/2004 22:00
30448,Browns Point,,LIGHT,WA,9/21/2004 22:15
30449,Toledo-Cleveland,,CIRCLE,OH,9/22/2004 4:00
30450,Milton,,,KY,9/22/2004 4:15
30451,Novato,,TEARDROP,CA,9/22/2004 6:45
30452,Plover,,OTHER,WI,9/22/2004 9:00
30453,Hollister,,OTHER,CA,9/22/2004 10:00
30454,Eastlake,BLUE,LIGHT,OH,9/22/2004 12:30
30455,Petaluma,,FORMATION,CA,9/22/2004 13:15
30456,Mason,,SPHERE,OH,9/22/2004 18:00
30457,Memphis,,SPHERE,TX,9/22/2004 19:00
30458,Pacific Palisades,,VARIOUS,CA,9/22/2004 19:30
30459,Los Angeles,,LIGHT,CA,9/22/2004 20:10
30460,South Phoenix,,LIGHT,AZ,9/22/2004 20:30
30461,Coloma,YELLOW,LIGHT,WI,9/22/2004 21:00
30462,Paramount,,EGG,CA,9/22/2004 22:00
30463,Marsing,,,ID,9/22/2004 22:10
30464,Indianapolis,YELLOW,FLASH,IN,9/22/2004 22:25
30465,Columbus Junction,,LIGHT,IA,9/22/2004 23:30
30466,Brookpark,,TRIANGLE,OH,9/22/2004 23:45
30467,Felton,,LIGHT,CA,9/23/2004 4:00
30468,Bowie,,DISK,AZ,9/23/2004 4:23
30469,Yarmouth,,LIGHT,MA,9/23/2004 20:30
30470,don't know,,SPHERE,NJ,9/23/2004 20:50
30471,Phoenix,,,AZ,9/23/2004 21:30
30472,Twin Falls,ORANGE,OTHER,ID,9/23/2004 21:54
30473,Charlotte,,LIGHT,NC,9/24/2004 2:00
30474,St. Augustine,,CIGAR,FL,9/24/2004 17:30
30475,Oak Forest,ORANGE,DISK,IL,9/24/2004 18:35
30476,Strattanville,,DISK,PA,9/24/2004 20:19
30477,Libertyville,,CIRCLE,IL,9/24/2004 22:10
30478,Tess Corners,,LIGHT,WI,9/25/2004 0:20
30479,Windsor,,TRIANGLE,CO,9/25/2004 1:30
30480,Detroit,,LIGHT,MI,9/25/2004 6:00
30481,Gibson City,,OVAL,IL,9/25/2004 12:00
30482,St. Louis Park,,OVAL,MN,9/25/2004 13:00
30483,Chicago,,OVAL,IL,9/25/2004 17:30
30484,Bellevue,,,WA,9/25/2004 17:45
30485,Chicago,BLUE,CIRCLE,IL,9/25/2004 19:30
30486,Lizton,BLUE,LIGHT,IN,9/25/2004 20:00
30487,Snoqualmie Pass,,SPHERE,WA,9/25/2004 20:00
30488,Hartland,,LIGHT,MI,9/26/2004 0:00
30489,Bardstown,,LIGHT,KY,9/26/2004 0:30
30490,Batavia,,TEARDROP,NY,9/26/2004 8:05
30491,Kokomo,YELLOW,LIGHT,IN,9/26/2004 10:41
30492,Fairview,,CYLINDER,UT,9/26/2004 14:25
30493,Englewood,,SPHERE,CO,9/26/2004 18:15
30494,Portland,RED,LIGHT,OR,9/26/2004 20:15
30495,Three Rivers,,LIGHT,MA,9/26/2004 20:30
30496,Tyro,,FLASH,NC,9/26/2004 20:35
30497,Santa Clara,,LIGHT,CA,9/26/2004 20:43
30498,Middle Island,,LIGHT,NY,9/26/2004 22:15
30499,Philadelphia,,FORMATION,PA,9/26/2004 22:15
30500,Chicago,,LIGHT,IL,9/27/2004 10:50
30501,Thorp,,LIGHT,WI,9/27/2004 20:20
30502,Brandon,,DIAMOND,FL,9/27/2004 20:43
30503,Noblesville,,CIRCLE,IN,9/27/2004 21:55
30504,Murfreesboro,,TRIANGLE,TN,9/27/2004 23:00
30505,Muskego,,,WI,9/28/2004 4:03
30506,Fort Collins,,,CO,9/28/2004 8:39
30507,Caliphon,,DISK,NJ,9/28/2004 12:00
30508,Davenport,,DISK,FL,9/28/2004 14:00
30509,Phoenix,RED,TRIANGLE,AZ,9/28/2004 18:15
30510,Wooster,RED,LIGHT,OH,9/28/2004 19:30
30511,Portage,,FORMATION,WI,9/28/2004 20:45
30512,Fresno,,LIGHT,CA,9/28/2004 22:45
30513,Evansville,,CIRCLE,IN,9/29/2004 4:00
30514,Mojave,,TRIANGLE,CA,9/29/2004 7:20
30515,Pickett,YELLOW,VARIOUS,WI,9/29/2004 20:45
30516,Plover,ORANGE,LIGHT,WI,9/29/2004 21:00
30517,Wartrace,,TRIANGLE,TN,9/29/2004 21:00
30518,Chaska,,,MN,9/29/2004 21:10
30519,Baltimore,,EGG,MD,9/29/2004 21:45
30520,Santa Rosa,BLUE,OVAL,CA,9/29/2004 22:00
30521,Batesville,ORANGE,LIGHT,AR,9/29/2004 23:30
30522,Golden,,OTHER,CO,9/30/2004 9:30
30523,Boston,,,MA,9/30/2004 12:00
30524,Sunbright,,OVAL,TN,9/30/2004 16:00
30525,Angola,,DISK,IN,9/30/2004 18:00
30526,Burley,,DIAMOND,WA,9/30/2004 20:00
30527,Davis,,LIGHT,CA,9/30/2004 22:00
30528,Seattle,,LIGHT,WA,9/30/2004 22:10
30529,Salt Lake City,,CIRCLE,UT,9/30/2004 23:10
30530,Mt. Morris,,CIRCLE,NY,10/1/2004 4:32
30531,Eureka,,,CA,10/1/2004 16:00
30532,Las Vegas,,CYLINDER,NV,10/1/2004 17:00
30533,Albuquerque,,OVAL,NM,10/1/2004 20:00
30534,Richmond,RED,TRIANGLE,VA,10/1/2004 20:27
30535,Tucson,,,AZ,10/1/2004 20:50
30536,Sebastian Inlet,GREEN,OTHER,FL,10/1/2004 22:20
30537,Sidney,,SPHERE,MI,10/1/2004 23:00
30538,Portchester,,TRIANGLE,NY,10/2/2004 2:55
30539,East Rochester,,,NY,10/2/2004 3:00
30540,Bristol,,TRIANGLE,TN,10/2/2004 5:30
30541,Flint,,SPHERE,MI,10/2/2004 12:30
30542,St. Louis,,,MO,10/2/2004 15:30
30543,Burnsville,,DIAMOND,MN,10/2/2004 16:00
30544,Eatonville,,DISK,WA,10/2/2004 18:00
30545,West Covina,,,CA,10/2/2004 18:20
30546,Louisville,,OVAL,KY,10/2/2004 19:30
30547,Orange Beach,,LIGHT,AL,10/2/2004 19:30
30548,Huntington Beach,ORANGE,LIGHT,CA,10/2/2004 23:28
30549,South Attleboro,,TRIANGLE,MA,10/2/2004 23:37
30550,Lilburn,,CIRCLE,GA,10/3/2004 3:00
30551,Ridgewood,RED,CIRCLE,NJ,10/3/2004 6:45
30552,Vancouver,,,WA,10/3/2004 7:25
30553,Pratt,,CIGAR,KS,10/3/2004 7:30
30554,New York City,,LIGHT,NY,10/3/2004 16:00
30555,New York City,,SPHERE,NY,10/3/2004 16:00
30556,Manchester,,CIGAR,CT,10/3/2004 17:30
30557,Perkasie,,CIGAR,PA,10/3/2004 19:00
30558,Tullahoma,,VARIOUS,TN,10/3/2004 19:00
30559,Cleveland,,CIRCLE,OH,10/3/2004 19:05
30560,Porter Ranch,YELLOW,LIGHT,CA,10/3/2004 20:10
30561,Martinsburg,RED GREEN BLUE,LIGHT,WV,10/3/2004 20:30
30562,Montgomery,,LIGHT,AL,10/4/2004 5:30
